Fecha,GasLicuado,Regular,Superior,Diesel
Nov/2010,540671.88,139547.73,241062.76,565627.54
Dec/2010,286501.74,430857.95,652210.77,1135293.92
Jan/2011,511518.14,253700.82,391997.54,1033948.69
Feb/2011,313877.17,343582.85,437769.48,772775.58
Mar/2011,297190.31,291087.16,445920.27,707536.31
Apr/2011,426380.21,326003.71,357349.67,767445.36
May/2011,238374.12,326566.61,433038.13,918940.44
Jun/2011,345196.29,230990.13,354604.94,553883.42
Jul/2011,148988.5,188581.4,369694.76,734958.54
Aug/2011,565627.93,201844.49,270765.31,1014324.28
Sep/2011,382310.38,260669.22,335803.82,795554.71
Oct/2011,319091.05,239711.91,351555.66,612133.26
Nov/2011,384368.36,237803.48,450212.8,575406.48
Dec/2011,141052.55,367820.54,534925.36,732921.03
Jan/2012,481781.48,318283.44,434648.17,790123.23
Feb/2012,162561.29,253583.96,372893.49,887963.98
Mar/2012,521493.74,255492.16,354160.85,978693.29
Apr/2012,131958.4,189948.79,399701.69,697871.28
May/2012,510506.81,241786.29,380531.85,833370.09
Jun/2012,527672.26,320566.69,550379.33,767124.65
Jul/2012,165424.21,142232.47,271509.2,1021995.9
Aug/2012,387892.07,263677.23,361307.2,626706.23
Sep/2012,530897.79,201347.56,372989.29,619651.27
Oct/2012,162208.43,374301.51,600094.03,463054.77
Nov/2012,569345.86,197398.8,359818.54,538552.89
Dec/2012,152926.76,287980.58,419029.17,1324780.96
Jan/2013,575318.45,396416.84,433924.69,749266.68
Feb/2013,142772.81,235502.58,470483.98,709843.02
Mar/2013,569013.24,439386.62,429974.17,832627.57
Apr/2013,508649.45,274680.65,430259.18,860094.78
May/2013,181461.6,281823.2,532379.66,1202187.85
Jun/2013,536847.17,293808.6,284038.03,729711.88
Jul/2013,352909.02,259025.83,486075.06,693160.5
Aug/2013,359346.0,221433.2,347066.11,505133.44
Sep/2013,394985.89,300794.99,373303.31,803626.98
Oct/2013,415869.34,281168.85,372946.33,980327.98
Nov/2013,425669.24,390941.15,496029.72,903218.47
Dec/2013,452414.08,210096.78,358799.64,791698.89
Jan/2014,371888.73,487880.79,457365.46,1595698.56
Feb/2014,336845.19,312423.86,455726.06,688703.18
Mar/2014,358755.83,472437.63,582572.93,1147182.5
Apr/2014,466766.95,207049.0,270302.22,845051.33
May/2014,554784.32,417767.24,563319.79,1008148.07
Jun/2014,359135.62,247114.99,404603.55,694920.68
Jul/2014,417570.34,454196.13,558403.41,845875.86
Aug/2014,416068.3,305285.53,398563.48,760353.37
Sep/2014,408998.93,378741.56,547486.22,598145.89
Oct/2014,314868.89,256340.49,379572.07,762763.24
Nov/2014,487343.72,372809.93,533524.4,1033873.16
Dec/2014,380185.96,491072.11,583081.57,1004032.65
Jan/2015,523352.31,371420.59,471973.3,1324421.96
Feb/2015,421268.22,548714.53,664315.85,955286.02
Mar/2015,497168.6,453536.19,622883.1,1164885.97
Apr/2015,519603.84,537064.59,599558.55,1130870.79
May/2015,415890.34,534049.28,618319.21,954782.75
Jun/2015,526358.48,394824.33,525280.85,862071.77
Jul/2015,411971.43,519374.15,616269.01,1149630.43
Aug/2015,561563.81,328552.07,467373.13,919285.9
Sep/2015,480268.89,485906.49,576250.29,754068.77
Oct/2015,423239.36,432666.75,533620.64,1163425.95
Nov/2015,637316.48,574547.76,724273.97,904700.42
Dec/2015,500684.29,319329.71,498798.79,1113876.28
Jan/2016,748970.64,546876.54,729211.43,987507.78
Feb/2016,287337.74,424074.81,405559.45,1167227.96
Mar/2016,504451.07,508542.18,771024.11,1498844.95
Apr/2016,587482.69,527083.64,502728.88,1137213.1
May/2016,416912.47,528347.81,615900.31,1035544.08
Jun/2016,703319.23,397477.4,502082.45,800222.53
Jul/2016,455823.14,526652.73,618366.1,859222.62
Aug/2016,588310.54,512202.57,625218.9,701185.75
Sep/2016,306543.41,567786.57,677892.97,1274128.31
Oct/2016,717388.57,455850.76,546154.65,927923.5
Nov/2016,505975.98,476784.16,725548.16,957656.05
Dec/2016,584807.19,473659.59,526573.96,1303735.78
