Fecha,Superior,Regular,Diesel,GasLicuado
05/2024,32.88,31.37,27.63,115.0
06/2024,32.88,31.37,27.63,115.0
06/2024,32.88,31.37,27.63,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.51,31.01,27.31,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.18,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.38,30.88,27.56,115.0
06/2024,32.4,30.91,27.68,115.0
06/2024,32.4,30.91,27.68,110.0
06/2024,32.4,30.91,27.68,110.0
06/2024,32.4,30.91,27.68,110.0
06/2024,32.4,30.91,27.68,110.0
06/2024,32.4,30.91,27.68,110.0
06/2024,32.4,30.91,27.68,110.0
07/2024,32.4,30.91,27.68,110.0
07/2024,32.4,30.91,27.68,110.0
07/2024,32.67,31.17,28.53,110.0
07/2024,32.67,31.17,28.53,110.0
07/2024,32.67,31.17,28.53,110.0
07/2024,32.67,31.17,28.53,110.0
07/2024,32.67,31.17,28.53,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,32.68,31.17,28.16,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,33.23,31.73,28.55,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.79,31.29,28.09,110.0
07/2024,32.63,31.13,27.93,110.0
07/2024,32.63,31.13,27.93,110.0
07/2024,32.63,31.13,27.93,110.0
08/2024,32.63,31.13,27.93,110.0
08/2024,32.63,31.13,27.93,110.0
08/2024,32.63,31.13,27.93,110.0
08/2024,32.63,31.13,27.93,110.0
