Fecha,GasLicuado,Regular,Superior,Diesel
Aug/2008,237062.52,227499.0,378363.76,556174.4
Sep/2008,225262.46,218214.64,367962.73,557802.62
Oct/2008,263100.5,238955.44,386430.4,617863.13
Nov/2008,230092.62,238626.16,375438.69,688104.11
Dec/2008,245852.65,298245.47,463343.73,778953.84
Jan/2009,217372.42,273494.16,424264.5,800526.47
Feb/2009,212038.24,254667.7,424438.71,795050.51
Mar/2009,235475.32,290343.28,434248.69,865981.57
Apr/2009,209739.17,290887.08,454265.4,822109.74
May/2009,221884.47,276970.67,432401.49,770687.28
Jun/2009,221329.63,252551.99,393140.38,703815.55
Jul/2009,241510.2,283142.05,435256.09,740868.09
Aug/2009,232174.11,267830.84,409182.96,692376.7
Sep/2009,225886.43,248994.42,420238.71,687435.1
Oct/2009,235899.13,269008.52,421753.29,775739.56
Nov/2009,232172.83,212149.91,391754.81,738678.65
Dec/2009,215923.38,296805.29,449842.29,891670.41
Jan/2010,228078.62,243341.49,389068.41,777741.34
Feb/2010,214409.69,248207.93,391195.69,807692.1
Mar/2010,242081.59,320985.41,465664.59,1017058.18
Apr/2010,216150.67,254872.61,387063.18,762770.01
May/2010,215523.54,238903.31,381811.18,721668.18
Jun/2010,226415.07,251896.39,385981.1,683236.54
Jul/2010,243063.35,278700.49,422481.8,721584.6
Aug/2010,245908.42,268917.79,410176.39,695796.33
Sep/2010,233404.9,266975.25,396429.75,687553.88
Oct/2010,236852.35,275031.21,418305.07,745415.51
Nov/2010,255841.85,273452.94,409652.73,785917.4
Dec/2010,251825.2,320807.17,466766.78,843762.0
Jan/2011,244328.91,285089.04,411737.33,850696.79
Feb/2011,228479.0,269301.38,391131.1,819940.5
Mar/2011,255792.92,281453.75,393160.91,900485.91
Apr/2011,237582.68,285598.37,386749.27,797527.23
May/2011,247975.28,253277.88,371876.75,803849.53
Jun/2011,247082.28,290137.49,380800.43,729676.79
Jul/2011,259033.89,279283.36,389294.64,718255.06
Aug/2011,259688.74,256380.27,408494.51,699736.08
Sep/2011,251882.54,256728.25,380453.23,660384.93
Oct/2011,262255.14,242071.01,381309.5,672214.93
Nov/2011,252218.21,231413.83,381871.84,794507.24
Dec/2011,263892.43,291678.03,449904.1,862318.8
Jan/2012,242524.9,261933.68,393781.94,814956.72
Feb/2012,243810.95,253733.22,402633.55,848067.25
Mar/2012,270906.08,290286.65,429534.5,925065.27
Apr/2012,249493.66,262615.28,389264.02,792201.73
May/2012,261657.41,235374.04,405877.41,771542.47
Jun/2012,255333.43,261012.58,409111.24,712464.94
Jul/2012,271101.94,233061.35,420370.6,699130.04
Aug/2012,280184.27,259165.94,433828.02,716720.36
Sep/2012,268875.1,228205.77,378478.8,632120.37
Oct/2012,297829.17,261347.22,414523.22,728414.88
Nov/2012,303422.01,272657.82,394751.47,812523.44
Dec/2012,281757.56,310407.04,442191.43,848262.93
Jan/2013,291844.0,287985.59,408557.45,863769.41
Feb/2013,253221.89,259659.66,361215.69,808853.97
Mar/2013,286869.62,313075.45,413744.86,898352.2
Apr/2013,287216.3,330070.65,409238.3,966103.92
May/2013,301770.53,313131.36,403354.79,827601.25
Jun/2013,275921.37,287596.64,402012.07,775187.12
Jul/2013,292790.1,314185.61,425154.22,732544.52
Aug/2013,282844.32,288400.67,416968.15,773147.9
Sep/2013,278403.42,249357.42,379479.78,672125.16
Oct/2013,285195.01,314518.72,430179.69,800049.12
Nov/2013,253022.23,306638.45,404692.46,821457.45
Dec/2013,282335.47,339969.85,448135.35,860351.9
Jan/2014,288260.8,312139.77,412617.93,917251.54
Feb/2014,304312.13,312142.65,385430.58,890362.31
Mar/2014,284201.43,335869.63,434863.96,1004937.39
Apr/2014,250902.83,349155.3,437470.07,972039.42
May/2014,305911.84,332737.37,427487.2,877263.31
Jun/2014,285640.44,303016.82,387299.1,733508.7
Jul/2014,289827.6,344659.64,439137.13,826918.81
Aug/2014,272617.6,326356.06,442953.1,793694.01
Sep/2014,271079.59,371327.13,411466.28,728498.84
Oct/2014,337006.14,343812.67,459922.48,836278.12
Nov/2014,303666.7,343918.56,436467.9,885713.74
Dec/2014,311419.96,464223.15,538899.26,1021378.09
Jan/2015,317220.91,419102.72,503135.7,1014706.21
Feb/2015,315364.36,398167.69,454190.88,980149.84
Mar/2015,338142.32,457246.14,521879.26,1142551.06
Apr/2015,320920.88,413451.11,486779.41,1011167.74
May/2015,328177.8,415570.95,483594.83,944316.66
Jun/2015,331140.05,414466.18,480892.11,880016.47
Jul/2015,363251.96,440729.53,515322.66,902586.36
Aug/2015,333215.61,439588.9,513413.0,887796.85
Sep/2015,364351.76,422826.59,501658.04,734654.22
Oct/2015,364469.55,448971.88,532741.14,834285.95
Nov/2015,353643.08,423841.82,516486.95,925431.0
Dec/2015,355233.65,499839.17,600161.72,1047478.84
Jan/2016,346512.22,433180.34,545737.53,1084043.63
Feb/2016,368867.55,450916.35,540459.19,1055672.64
Mar/2016,372223.42,486255.94,575720.92,1107296.65
Apr/2016,357084.22,467472.2,545605.47,1149175.19
May/2016,377629.02,468710.38,551000.79,1019984.4
Jun/2016,355848.99,450758.18,537583.25,888538.1
Jul/2016,350429.77,465270.48,562778.84,883716.04
Aug/2016,363859.51,485995.83,585748.5,866270.02
Sep/2016,356426.23,456946.75,548491.65,877800.56
Oct/2016,373503.78,476277.64,573754.73,916410.7
Nov/2016,372904.63,463726.21,547323.53,1019671.97
Dec/2016,372690.46,524242.31,615251.51,1113827.1
Jan/2017,358706.82,477291.93,546212.16,1079339.3
Feb/2017,357497.97,453665.32,526888.94,1052536.01
Mar/2017,351791.93,523943.6,592249.34,1216423.42
Apr/2017,360957.7,500063.03,530345.96,1032813.29
May/2017,377492.16,516884.37,588861.62,1034806.24
Jun/2017,378328.46,478491.95,549378.05,897511.89
Jul/2017,369948.64,521730.41,607702.7,938887.64
Aug/2017,385834.28,514086.57,604650.34,950188.14
Sep/2017,447373.59,492618.55,560892.67,894363.58
Oct/2017,393901.92,512762.32,583658.83,935986.17
Nov/2017,409332.86,510631.29,563345.61,1038598.26
Dec/2017,404574.36,574097.7,635423.76,1117711.45
Jan/2018,421848.92,528763.3,581802.98,1121392.5299999998
Feb/2018,379239.07,502041.67,545210.0,1086758.89
Mar/2018,415125.9,571052.13,618402.18,1210029.5
Apr/2018,370434.61,526979.67,565665.72,1123382.75
May/2018,403094.74,544395.17,570129.66,1017487.01
Jun/2018,390070.17,518911.44,554431.5,937881.91
Jul/2018,381128.08,541811.12,589775.97,958397.37
Aug/2018,407124.75,570224.11,593659.63,1000630.5800000001
Sep/2018,385717.79,531285.29,551547.83,889384.9400000001
Oct/2018,408674.34,573751.47,579474.43,977682.12
Nov/2018,408049.58,563417.57,573687.35,1069786.1199999999
Dec/2018,421872.09,632670.17,654281.25,1114499.78
Jan/2019,421555.41,596682.75,601714.9,1161575.1400000001
Feb/2019,402371.33,559109.22,565425.02,1110627.82
Mar/2019,428149.45,645266.77,610720.58,1236968.6600000001
Apr/2019,414018.68,657570.18,598956.3,1167768.5
May/2019,426587.33,666748.63,611592.32,1144447.8099999998
Jun/2019,399031.61,641136.56,595744.38,1020390.82
Jul/2019,419958.02,650150.78,615559.33,1039585.88
Aug/2019,419493.82,668783.39,632415.7,1079239.25
Sep/2019,396860.64,616079.3,587861.84,981804.6299999999
Oct/2019,433917.15,669008.77,643044.33,1053062.8900000001
Nov/2019,430725.89,643070.35,620572.21,1131732.56
Dec/2019,428697.64,706020.77,682468.14,1185181.48
Jan/2020,421644.72,640011.73,622323.79,1193942.44
Feb/2020,426533.15,652028.0,633100.05,1243072.02
Mar/2020,420637.14,573586.73,509752.95,1111259.74
